Name,Address,IndustryInfo,Neighborhood,좌표
아모레카운셀러,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
니나 에스테틱,피부미용실,경기 성남시 분당구 성남대로916번길 5,519호,"(37.411549, 127.1298651)"
우리헤어테크닉,"이용,미용",경기 성남시 분당구 서현동효자촌주상복합 A-1090,,
모젤헤어샵,"이용,미용",경기 성남시 분당구 양현로 220,단지상가,"(37.3923182, 127.1244591)"
더세리(THE SERI)분당정자점,미용재료,경기 성남시 분당구 정자동12-1 백궁지엔느 201호∼202호,,
우바헤어,"이용,미용",경기 성남시 분당구 판교역로10번길 27-1,1층,"(37.386136, 127.1114262)"
헤어매직,"이용,미용",경기 성남시 분당구 내정로 24,정든마을 상가 103,"(37.368652, 127.1147912)"
하정우헤어,"이용,미용",경기 성남시 분당구 백현로101번길 12,303,"(37.3764421, 127.1114779)"
엘라에스테틱,화장품,경기 성남시 분당구 분당로53번길 19,401-1호,"(37.383188, 127.120908)"
이파리본,화장품,경기 성남시 분당구 운중로225번길 58-1,1층,
티티사,미용재료,경기 성남시 분당구 정자일로 234,204,"(37.37110335, 127.10627385564129)"
아름다운 신화,화장품,경기 성남시 분당구 야탑로 95,세신옴니코아 1층 42,"(37.4101687, 127.1292980998885)"
필라테스인뉴욕,체형관리,경기 성남시 분당구 정자일로 121,더샵스타파크상가제 2층 F-05,"(37.3603053, 127.10508758027783)"
카라화장품,화장품,경기 성남시 분당구 돌마로 478,123,"(37.371871, 127.1255546)"
나이스가이,"이용,미용",경기 성남시 분당구 내정로174번길 6,103호,"(37.3726856, 127.1215298)"
아모레 카운셀러,화장품,경기 성남시 분당구 구미로9번길 7,704,"(37.3389654, 127.1100861)"
라비앙로즈,화장품,경기 성남시 분당구 야탑로 106,102,"(37.4095554, 127.13059440821641)"
신데렐라,화장품,경기 성남시 분당구 돌마로 364,2층,"(37.371871, 127.1255546)"
체리빌사우나 스킨케어,화장품,경기 성남시 분당구 구미로9번길 16,B1층,"(37.3394745, 127.11067507479228)"
헤어아티스트엠,"이용,미용",경기 성남시 분당구 성남대로 151,1층 123호,"(37.4085558, 127.1294167)"
로즈마리,화장품,경기 성남시 분당구 성남대로 51,지하 139호,"(37.34049925, 127.10813800244722)"
아모레 카운셀러,화장품,경기 성남시 분당구 매화로 38,201,"(37.41101655, 127.13417343317076)"
아모레카운셀러,화장품,경기 성남시 분당구 매화로 38,201,"(37.41101655, 127.13417343317076)"
미소근육조정원,체형관리,경기 성남시 분당구 내정로173번길 49,3차 2층,"(37.3759028, 127.1178763)"
WI헤어샵,"이용,미용",경기 성남시 분당구 판교로 421,야탑동,"(37.4001937, 127.0962964)"
노블레스,피부미용실,경기 성남시 분당구 성남대로 165,244호,"(37.3724397, 127.1081833)"
토니앤가이(프리미엄분당점),화장품,경기 성남시 분당구 정자일로 135,D동 215호 216호 217호 218호,"(37.3622773, 127.1052174)"
지아네일,"이용,미용",경기 성남시 분당구 내정로173번길 11,603동 122호,"(37.3759028, 127.1178763)"
정은자미용실,"이용,미용",경기 성남시 분당구 매화로 12,탑마을근린상가 106,"(37.4157788, 127.133923)"
도도앤헤어,"이용,미용",경기 성남시 분당구 운중로 120,302호,"(37.39133, 127.0647511)"
J가발 전문점,"이용,미용",경기 성남시 분당구 성남대로 912,6층 601호,"(37.4109688, 127.12925267507362)"
샤넬미용실,"이용,미용",경기 성남시 분당구 수내동75,번지 푸른마을종합 B상가 106,
더네일,화장품,경기 성남시 분당구 중앙공원로31번길 42,146,"(37.3818329, 127.1263572)"
제니스 글로벌,체형관리,경기 성남시 분당구 성남대로 165,4층 제오 474,"(37.3724397, 127.1081833)"
테라피안,화장품,경기 성남시 분당구 성남대로172번길 12,323,"(37.3513723, 127.1110642)"
김신정헤어클럽,"이용,미용",경기 성남시 분당구 장미로 193,매화마을근린상가 110,"(37.4134109, 127.1331151)"
이희헤어스튜디오,"이용,미용",경기 성남시 분당구 성남대로172번길 12,103,"(37.3513723, 127.1110642)"
주식회사 하스코스,화장품,경기 성남시 분당구 장미로48번길 14,507,"(37.4138261, 127.1260624)"
네일팰리스,"이용,미용",경기 성남시 분당구 백현로101번길 13,1층 104호,"(37.3764421, 127.1114779)"
홍수연헤어미가,"이용,미용",경기 성남시 분당구 불곡남로4번길 1,102,"(37.358820550000004, 127.12260459416822)"
윤태정헤어,"이용,미용",경기 성남시 분당구 돌마로 361,동신코아 2층 217,"(37.371871, 127.1255546)"
샤론,화장품,경기 성남시 분당구 장미로 78,201호,"(37.4135268, 127.12958351543925)"
핑크네일,화장품,경기 성남시 분당구 돌마로486번길 12,지하층 9호 8 효자촌 근린상가동,"(37.3752243, 127.1363936)"
미아미용실,"이용,미용",경기 성남시 분당구 돌마로 80,2층 117,"(37.34967775, 127.11041683472561)"
전동님미용실,"이용,미용",경기 성남시 분당구 백현로 206,한솔주공4단지 근린상가 202호,"(37.3744655, 127.1135336)"
한지혜헤어살롬,"이용,미용",경기 성남시 분당구 중앙공원로40번길 8,120,"(37.3794199, 127.1316498)"
자연머리방,"이용,미용",경기 성남시 분당구 정자동51-39번지,,
세신종합화장품,화장품,경기 성남시 분당구 야탑동367-4, 세신옴니코아빌딩제1층101호2829,
제이원코스메틱,미용재료,경기 성남시 분당구 발이봉남로15번길 8-1,B2층,"(37.36490465, 127.12746105904047)"
헤어샵마리,"이용,미용",경기 성남시 분당구 내정로 24,111호,"(37.368652, 127.1147912)"
피부미용(화장품),화장품,경기 성남시 분당구 중앙공원로31번길 42,216,"(37.3818329, 127.1263572)"
뷰티호텔(정자점),화장품,경기 성남시 분당구 정자일로 100,상가동 4층 403호,"(37.3634087, 127.105971)"
모터치분당점,"이용,미용",경기 성남시 분당구 미금일로 75,지하 03호,"(37.3456879, 127.1113386)"
블루헤어샵,"이용,미용",경기 성남시 분당구 무지개로 144,무지개마을 청구상가 103,"(37.3392971, 127.1187926)"
오라클코스메틱,화장품,경기 성남시 분당구 서현로180번길 13,6층,"(37.3878973, 127.1228833)"
퀸,화장품,경기 성남시 분당구 중앙공원로 35,올림픽스포츠센터 1층 상가 105,"(37.382904, 127.1322702)"
제이헤어샵,"이용,미용",경기 성남시 분당구 금곡로 263,금곡동,"(37.3549498, 127.1124997)"
